Country,TIME_PERIOD,OBS_VALUE,Country Code,Indicator Name,Indicator Code,GDP_per_capita
Japan,2017,60.426178,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,44749.6382115169
United Kingdom,2018,50.752552,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53821.4902718369
Germany,2013,29.995255,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,57947.4963190577
Spain,2013,41.089592,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40277.5590195081
France,2020,49.449242,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50724.4943733889
Canada,2020,64.386749,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53274.9109302286
Germany,2020,34.876732,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,60065.5097891379
United States,2016,47.521809,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,65299.9993837591
Italy,2016,25.584146,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47880.9411077416
Japan,2014,58.585857,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,42909.0056611568
France,2014,44.726288,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51534.8040740019
Canada,2014,57.725277,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,54880.8582018562
